text,intent
"Hello","greeting"
"Hi there!","greeting"
"Good morning","greeting"
"Good afternoon","greeting"
"Good evening","greeting"
"How are you?","greeting"
"How's it going?","greeting"
"Hey","greeting"
"What's up?","greeting"
"Goodbye","goodbye"
"See you later","goodbye"
"Take care","goodbye"
"Bye","goodbye"
"Farewell","goodbye"
"Can you help me?","help"
"I need some help","help"
"Can you assist me?","help"
"Help me with something","help"
"I don't understand","help"
"What can you do?","help"
"What should I wear to a party?","clothing_decision"
"Can you suggest some outfits?","clothing_decision"
"What should I wear today?","clothing_decision"
"Do you have any fashion advice?","clothing_decision"
"What kind of clothes are good for a date?","clothing_decision"
"What should I wear for a job interview?","clothing_decision"
"Should I wear formal or casual clothes?","occasion_based"
"Is it a formal or casual occasion?","occasion_based"
"Do I need formal attire for the event?","occasion_based"
"What is the dress code for a wedding?","occasion_based"
"Is there a dress code for the dinner?","occasion_based"
"Is it too hot today?","weather_influenced"
"What's the weather like?","weather_influenced"
"Is it going to rain today?","weather_influenced"
"How's the weather in New York?","weather_influenced"
"Do I need an umbrella today?","weather_influenced"
"What will the weather be like this weekend?","weather_influenced"
"Where are you located?","location_inquiry"
"Where can I find you?","location_inquiry"
"Can you tell me where you are?","location_inquiry"
"How do I get to the airport?","location_inquiry"
"Where's the nearest restaurant?","location_inquiry"
"How far is it to the nearest hospital?","location_inquiry"
"Tell me a joke","entertainment"
"Can you make me laugh?","entertainment"
"Tell me a funny story","entertainment"
"Can you recommend a movie?","entertainment"
"What's your favorite movie?","entertainment"
"What are some good movies to watch?","entertainment"
"Can you play some music?","entertainment"
"What's the time?","time_inquiry"
"Can you tell me the time?","time_inquiry"
"What time is it?","time_inquiry"
"What time does the train leave?","time_inquiry"
"How late is the store open?","time_inquiry"
"What's the current time in London?","time_inquiry"
"How do I get to the bus station?","location_inquiry"
"How do I reach the nearest grocery store?","location_inquiry"
"Is the store open now?","time_inquiry"
"What's the date today?","time_inquiry"
"Can you tell me today's date?","time_inquiry"
"Whatâ€™s your name?","personal_info"
"Who are you?","personal_info"
"Tell me about yourself","personal_info"
"Are you a human or a robot?","personal_info"
"Can you help me with my homework?","help"
"Do you know any good books?","entertainment"
"Tell me about your hobbies","personal_info"
"Can you recommend some good music?","entertainment"
"Can you play a song?","entertainment"
"What's your favorite food?","personal_info"
"Can you suggest some food recipes?","food_suggestions"
"What's a good recipe for dinner?","food_suggestions"
"What should I cook for dinner?","food_suggestions"
"Do you have any vegetarian recipes?","food_suggestions"
"What's your favorite restaurant?","personal_info"
"What's for lunch?","food_suggestions"
"Can you suggest a healthy meal?","food_suggestions"
"What should I eat for breakfast?","food_suggestions"
"How can I improve my health?","health_advice"
"Give me some health tips","health_advice"
"How can I lose weight?","health_advice"
"Do you have any fitness advice?","health_advice"
"How do I stay fit?","health_advice"
"Do you know any good exercises?","health_advice"
"Can you suggest a workout routine?","health_advice"
"Can you tell me a motivational quote?","motivation"
"I need some motivation","motivation"
"Give me an inspirational quote","motivation"
"What's your favorite quote?","motivation"
"What's a good motivational speech?","motivation"
"Can you give me some career advice?","career_advice"
"What should I do to get a promotion?","career_advice"
"How do I succeed in my career?","career_advice"
"Can you recommend a career path for me?","career_advice"
"Do you have any job interview tips?","career_advice"
"How do I prepare for a job interview?","career_advice"
"Can you help me with my resume?","career_advice"
"What skills do I need to learn for a new job?","career_advice"
"Can you give me some study tips?","study_advice"
"How do I improve my grades?","study_advice"
"What are some good study habits?","study_advice"
"How can I focus better while studying?","study_advice"
"What are some tips for better time management?","study_advice"
"How can I stop procrastinating?","study_advice"
"Can you recommend a good app for learning?","study_advice"
"How do I memorize information better?","study_advice"
"What's the best way to relax?","relaxation"
"Can you help me relax?","relaxation"
"How can I de-stress?","relaxation"
"Give me some relaxation tips","relaxation"
"What's the best way to meditate?","relaxation"
"Can you guide me through a meditation?","relaxation"
Can you recommend [genre] movies?
I want to watch an [genre] movie.
What are some good [genre] movies?
text,intent
"Can you recommend some action movies?",movie_recommendation
"Suggest me a comedy film",movie_recommendation
"Give me some horror movie suggestions",movie_recommendation
"Recommend an adventure movie",movie_recommendation
"I want to watch a funny movie",movie_recommendation

